iter	Passed	Remaining
149	434	2464
150	435	2450
151	436	2436
152	437	2423
153	438	2409
154	440	2400
155	441	2387
156	442	2374
157	443	2361
158	444	2349
159	445	2336
160	445	2322
161	446	2310
162	447	2298
163	448	2286
164	449	2274
165	450	2263
166	451	2251
167	452	2240
168	453	2230
169	454	2220
170	455	2210
171	456	2199
172	458	2189
173	459	2179
174	460	2170
175	461	2161
176	462	2150
177	463	2140
178	464	2129
179	465	2119
180	466	2109
181	467	2100
182	468	2090
183	469	2081
184	470	2071
185	471	2062
186	472	2053
187	473	2043
188	474	2034
189	475	2025
190	476	2016
191	477	2007
192	477	1998
193	478	1989
194	479	1981
195	480	1972
196	482	1965
197	483	1958
198	484	1950
199	485	1941
200	486	1933
201	487	1925
202	488	1917
203	489	1909
204	490	1901
205	491	1892
206	492	1884
207	493	1877
208	494	1869
209	495	1862
210	496	1854
211	497	1847
212	498	1840
213	498	1832
214	499	1825
215	500	1817
216	501	1810
217	502	1803
218	503	1796
219	505	1790
220	506	1783
221	507	1776
222	507	1770
223	509	1763
224	510	1757
225	511	1751
226	512	1745
227	513	1739
228	514	1733
229	516	1727
230	517	1721
231	518	1716
232	519	1709
233	520	1703
234	521	1696
235	522	1690
236	523	1685
237	524	1680
238	526	1675
239	527	1670
240	528	1664
241	529	1658
242	530	1651
243	531	1645
244	532	1640
245	533	1634
246	534	1628
247	534	1622
248	535	1616
249	536	1610
250	537	1604
251	538	1599
252	539	1593
253	540	1587
254	541	1582
255	542	1576
256	543	1571
257	544	1565
258	545	1560
259	546	1554
260	547	1549
261	548	1545
262	549	1540
263	550	1535
264	551	1530
265	552	1524
266	553	1519
267	554	1514
268	555	1509
269	556	1504
270	557	1499
271	558	1494
272	559	1488
273	560	1483
274	560	1478
275	561	1474
276	562	1469
277	563	1464
278	565	1460
279	566	1455
280	567	1450
281	568	1446
282	569	1443
283	570	1439
284	571	1435
285	572	1430
286	573	1425
287	574	1421
288	575	1416
289	576	1411
290	577	1407
291	578	1402
292	579	1398
293	580	1394
294	581	1389
295	582	1385
296	583	1381
297	584	1376
298	585	1372
299	586	1368
300	587	1363
301	588	1359
302	589	1355
303	590	1351
304	591	1346
305	592	1343
306	593	1340
307	594	1335
308	595	1331
309	596	1327
310	597	1323
311	598	1319
312	599	1315
313	600	1311
314	601	1307
315	602	1303
316	603	1299
317	604	1295
318	605	1291
319	606	1287
320	607	1284
321	608	1280
322	609	1277
323	610	1273
324	611	1269
325	612	1265
326	613	1262
327	614	1259
328	615	1255
329	616	1252
330	617	1248
331	618	1244
332	619	1240
333	620	1237
334	621	1234
335	623	1231
336	624	1227
337	624	1223
338	625	1220
339	626	1216
340	627	1213
341	628	1209
342	629	1205
343	630	1202
344	631	1198
345	632	1195
346	633	1191
347	634	1188
348	636	1187
349	637	1184
350	638	1180
351	639	1177
352	640	1174
353	641	1170
354	642	1167
355	643	1163
356	644	1160
357	645	1157
358	646	1153
359	647	1150
360	648	1147
361	649	1144
362	650	1140
363	651	1137
364	652	1134
365	652	1131
366	653	1127
367	654	1124
368	655	1121
369	656	1118
370	658	1117
371	659	1113
372	660	1110
373	661	1107
374	662	1104
375	663	1101
376	664	1098
377	665	1095
378	666	1092
379	667	1089
380	668	1086
381	669	1083
382	670	1080
383	671	1077
384	672	1073
385	673	1071
386	674	1068
387	675	1065
388	676	1061
389	677	1059
390	678	1056
391	679	1053
392	681	1051
393	682	1049
394	682	1046
395	683	1043
396	684	1040
397	685	1037
398	686	1034
399	687	1031
400	688	1028
401	689	1025
402	690	1023
403	691	1020
404	692	1017
405	693	1014
406	694	1011
407	695	1009
408	696	1006
409	697	1003
410	698	1000
411	699	997
412	700	995
413	701	992
414	703	991
415	703	988
416	704	985
417	705	982
418	706	980
419	707	977
420	708	974
421	709	971
422	710	969
423	711	966
424	712	964
425	713	961
426	714	958
427	715	956
428	716	953
429	717	950
430	718	948
431	719	945
432	720	943
433	721	940
434	722	937
435	722	935
436	724	933
437	725	931
438	726	928
439	727	926
440	728	923
441	729	921
442	730	918
443	731	916
444	732	913
445	733	911
446	734	908
447	735	906
448	736	903
449	737	901
450	738	898
451	739	896
452	740	893
453	741	891
454	742	889
455	743	886
456	744	884
457	745	881
458	746	880
459	747	878
460	749	876
461	750	874
462	752	872
463	753	870
464	754	868
465	755	866
466	756	863
467	758	861
468	759	859
469	760	857
470	761	855
471	762	853
472	764	851
473	765	849
474	766	847
475	768	846
476	769	844
477	771	842
478	772	839
479	773	837
480	774	835
481	774	832
482	775	830
483	776	828
484	777	826
485	778	823
486	779	821
487	780	819
488	781	816
489	782	814
490	783	812
491	784	810
492	785	807
493	786	805
494	787	803
495	788	800
496	789	798
497	790	797
498	791	795
499	792	792
500	793	790
501	794	788
502	795	786
503	796	783
504	797	781
505	798	779
506	799	777
507	800	775
508	801	773
509	802	770
510	803	768
511	804	766
512	805	764
513	806	762
514	808	760
515	809	758
516	809	756
517	811	754
518	812	753
519	813	750
520	814	748
521	815	746
522	816	744
523	817	742
524	818	740
525	819	738
526	820	736
527	821	734
528	822	732
529	823	729
530	824	727
531	825	725
532	826	723
533	826	721
534	827	719
535	828	717
536	829	715
537	830	713
538	831	711
539	832	709
540	834	708
541	835	706
542	836	704
543	837	702
544	838	699
545	839	697
546	840	695
547	841	693
548	842	691
549	843	689
550	844	687
551	845	685
552	846	683
553	846	681
554	847	679
555	848	677
556	849	675
557	850	674
558	851	672
559	853	670
560	854	668
561	856	667
562	857	665
563	858	663
564	859	661
565	860	659
566	861	657
567	862	655
568	863	654
569	864	652
570	866	650
571	867	649
572	868	647
573	870	645
574	871	644
575	872	642
576	874	641
577	875	639
578	876	637
579	878	635
580	879	634
581	880	632
582	881	630
583	882	628
584	883	626
585	884	624
586	884	622
587	885	620
588	886	618
589	888	617
590	889	615
591	890	613
592	891	611
593	892	609
594	893	608
595	894	606
596	895	604
597	896	602
598	897	600
599	898	598
600	899	597
601	901	595
602	901	593
603	902	591
604	903	590
605	904	588
606	905	586
607	906	584
608	907	582
609	908	580
610	909	578
611	910	577
612	911	575
613	912	573
614	913	571
615	914	569
616	915	568
617	916	566
618	917	564
619	917	562
620	918	560
621	919	559
622	921	557
623	922	555
624	923	554
625	924	552
626	925	550
627	926	548
628	927	546
629	928	545
630	929	543
631	930	541
632	931	539
633	932	538
634	933	536
635	934	534
636	935	532
637	936	531
638	936	529
639	937	527
640	938	525
641	939	524
642	940	522
643	941	520
644	942	518
645	944	517
646	945	515
647	946	514
648	947	512
649	948	510
650	949	508
651	950	507
652	951	505
653	952	503
654	953	501
655	954	500
656	954	498
657	955	496
658	956	495
659	957	493
660	958	491
661	959	489
662	960	488
663	961	486
664	962	484
665	963	483
666	964	481
667	966	480
668	967	478
669	968	477
670	969	475
671	970	473
672	971	472
673	972	470
674	973	468
675	975	467
676	976	465
677	977	464
678	978	462
679	979	461
680	980	459
681	981	457
682	982	456
683	983	454
684	984	452
685	985	451
686	986	449
687	988	448
688	989	446
689	990	444
690	991	443
691	992	441
692	993	439
693	993	438
694	994	436
695	995	434
696	996	433
697	998	431
698	999	430
699	1000	428
700	1001	427
701	1002	425
702	1003	423
703	1004	422
704	1005	420
705	1005	418
706	1006	417
707	1007	415
708	1009	414
709	1010	412
710	1011	411
711	1012	409
712	1013	408
713	1014	406
714	1015	404
715	1016	403
716	1017	401
717	1018	400
718	1019	398
719	1020	396
720	1021	395
721	1022	393
722	1023	392
723	1024	390
724	1025	388
725	1026	387
726	1027	385
727	1028	384
728	1029	382
729	1030	381
730	1031	379
731	1032	378
732	1033	376
733	1034	375
734	1035	373
735	1036	371
736	1037	370
737	1038	368
738	1039	367
739	1040	365
740	1041	364
741	1042	362
742	1043	360
743	1044	359
744	1045	357
745	1046	356
746	1047	354
747	1048	353
748	1049	351
749	1050	350
750	1051	348
751	1052	346
752	1053	345
753	1054	344
754	1055	342
755	1056	341
756	1057	339
757	1058	338
758	1059	336
759	1060	334
760	1061	333
761	1062	331
762	1063	330
763	1064	328
764	1065	327
765	1066	325
766	1068	324
767	1069	323
768	1070	321
769	1072	320
770	1073	318
771	1074	317
772	1075	315
773	1076	314
774	1077	312
775	1078	311
776	1079	309
777	1080	308
778	1081	306
779	1082	305
780	1083	303
781	1084	302
782	1085	300
783	1086	299
784	1087	297
785	1088	296
786	1089	294
787	1090	293
788	1091	291
789	1092	290
790	1093	288
791	1095	287
792	1096	286
793	1097	284
794	1098	283
795	1099	281
796	1100	280
797	1101	278
798	1102	277
799	1103	275
800	1104	274
801	1105	272
802	1106	271
803	1107	269
804	1108	268
805	1109	267
806	1111	265
807	1112	264
808	1113	262
809	1115	261
810	1116	260
811	1117	258
812	1118	257
813	1119	255
814	1120	254
815	1121	252
816	1122	251
817	1123	249
818	1124	248
819	1125	247
820	1126	245
821	1127	244
822	1128	242
823	1129	241
824	1130	239
825	1131	238
826	1132	236
827	1133	235
828	1134	233
829	1135	232
830	1136	231
831	1137	229
832	1138	228
833	1139	226
834	1141	225
835	1142	224
836	1143	222
837	1143	221
838	1144	219
839	1145	218
840	1146	216
841	1147	215
842	1148	213
843	1149	212
844	1150	211
845	1151	209
846	1152	208
847	1153	206
848	1154	205
849	1155	203
850	1156	202
851	1157	201
852	1158	199
853	1159	198
854	1160	196
855	1161	195
856	1163	194
857	1164	192
858	1165	191
859	1166	189
860	1167	188
861	1168	186
862	1168	185
863	1169	184
864	1170	182
865	1171	181
866	1172	179
867	1173	178
868	1174	177
869	1175	175
870	1176	174
871	1177	172
872	1178	171
873	1179	170
874	1180	168
875	1181	167
876	1182	165
877	1183	164
878	1185	163
879	1186	161
880	1187	160
881	1188	158
882	1188	157
883	1189	156
884	1190	154
885	1191	153
886	1192	151
887	1193	150
888	1194	149
889	1195	147
890	1196	146
891	1197	145
892	1198	143
893	1199	142
894	1200	140
895	1201	139
896	1202	138
897	1203	136
898	1204	135
899	1205	133
900	1207	132
901	1208	131
902	1208	129
903	1209	128
904	1210	127
905	1211	125
906	1212	124
907	1213	122
908	1214	121
909	1215	120
910	1216	118
911	1217	117
912	1218	116
913	1219	114
914	1220	113
915	1221	112
916	1222	110
917	1223	109
918	1224	107
919	1225	106
920	1226	105
921	1227	103
922	1228	102
923	1229	101
924	1230	99
925	1231	98
926	1232	97
927	1233	95
928	1234	94
929	1236	93
930	1237	91
931	1238	90
932	1239	88
933	1240	87
934	1240	86
935	1241	84
936	1242	83
937	1243	82
938	1244	80
939	1245	79
940	1246	78
941	1247	76
942	1248	75
943	1249	74
944	1251	72
945	1252	71
946	1253	70
947	1254	68
948	1255	67
949	1256	66
950	1257	64
951	1258	63
952	1259	62
953	1260	60
954	1261	59
955	1262	58
956	1262	56
957	1263	55
958	1264	54
959	1265	52
960	1266	51
961	1267	50
962	1268	48
963	1269	47
964	1270	46
965	1271	44
966	1273	43
967	1274	42
968	1275	40
969	1276	39
970	1277	38
971	1278	36
972	1279	35
973	1280	34
974	1281	32
975	1282	31
976	1283	30
977	1284	28
978	1285	27
979	1286	26
980	1287	24
981	1288	23
982	1289	22
983	1291	20
984	1292	19
985	1293	18
986	1295	17
987	1297	15
988	1299	14
989	1300	13
990	1301	11
991	1302	10
992	1303	9
993	1305	7
994	1306	6
995	1307	5
996	1308	3
997	1309	2
998	1310	1
999	1311	0
